Date/Time,Word Count,en,es,ko
2025.12.20-13.34.35,172,172,0,0
2025.12.20-14.03.01,172,172,0,1
2025.12.20-14.09.02,172,172,0,2
2025.12.20-14.55.16,172,172,0,0
2025.12.20-14.55.50,172,172,0,150
2025.12.20-15.12.04,172,172,0,171
2025.12.20-15.13.56,172,172,0,172
2025.12.20-15.16.12,172,172,150,172
2025.12.20-15.16.33,172,172,171,172
2025.12.20-15.17.47,172,172,172,172
2026.01.13-22.32.19,245,245,171,171
2026.01.13-22.34.28,245,245,171,172
2026.01.13-22.38.49,245,245,0,0
2026.01.13-22.40.17,245,245,0,172
2026.01.13-22.41.55,245,245,0,245
2026.01.13-22.45.21,245,245,73,245
2026.01.13-22.45.52,245,245,94,245
2026.01.13-22.46.17,245,245,245,245
